HSCode,Commodity,Value,Date
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",10.91,1/1/2013
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",922.9,1/1/2013
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",104.8,1/1/2013
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",322.86,1/1/2013
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",160.03,1/1/2013
91,CLOCKS AND WATCHES AND PARTS THEREOF.,6.46,1/1/2013
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1.17,1/1/2013
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,3.03,1/1/2013
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",98.52,1/1/2013
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",17.85,1/1/2013
96,MISCELLANEOUS MANUFACTURED ARTICLES.,37.63,1/1/2013
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,6.09,1/1/2013
98,PROJECT GOODS; SOME SPECIAL USES.,8.09,1/1/2013
99,MISCELLANEOUS GOODS.,446.62,1/1/2013
1,LIVE ANIMALS.,0.88,2/1/2013
2,MEAT AND EDIBLE MEAT OFFAL.,274.02,2/1/2013
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",233.53,2/1/2013
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",52.78,2/1/2013
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",4.25,2/1/2013
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,6.98,2/1/2013
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,92.94,2/1/2013
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,121.31,2/1/2013
9,"COFFEE, TEA, MATE AND SPICES.",216.83,2/1/2013
10,CEREALS.,988.29,2/1/2013
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,18.53,2/1/2013
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",160,2/1/2013
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",283.28,2/1/2013
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,6.15,2/1/2013
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,93.93,2/1/2013
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",5.34,2/1/2013
17,SUGARS AND SUGAR CONFECTIONERY.,75.84,2/1/2013
18,COCOA AND COCOA PREPARATIONS.,3.21,2/1/2013
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",33.9,2/1/2013
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",33.91,2/1/2013
21,MISCELLANEOUS EDIBLE PREPARATIONS.,44.83,2/1/2013
22,"BEVERAGES, SPIRITS AND VINEGAR.",34.66,2/1/2013
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,414.09,2/1/2013
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,79.19,2/1/2013
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",155.77,2/1/2013
26,"ORES, SLAG AND ASH.",156.69,2/1/2013
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","5,584.09",2/1/2013
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",121.92,2/1/2013
29,ORGANIC CHEMICALS,996.73,2/1/2013
30,PHARMACEUTICAL PRODUCTS,822.5,2/1/2013
31,FERTILISERS.,2.77,2/1/2013
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",175.77,2/1/2013
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",111.61,2/1/2013
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",37.75,2/1/2013
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,27.21,2/1/2013
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,5.97,2/1/2013
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,1.46,2/1/2013
38,MISCELLANEOUS CHEMICAL PRODUCTS.,278.17,2/1/2013
39,PLASTIC AND ARTICLES THEREOF.,516.43,2/1/2013
40,RUBBER AND ARTICLES THEREOF.,219.25,2/1/2013
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,76.37,2/1/2013
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",177.77,2/1/2013
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,2/1/2013
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,23.63,2/1/2013
45,CORK AND ARTICLES OF CORK.,0.15,2/1/2013
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.18,2/1/2013
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",79.76,2/1/2013
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",26.07,2/1/2013
50,SILK,11.68,2/1/2013
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",12.29,2/1/2013
52,COTTON.,"1,159.33",2/1/2013
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,24.22,2/1/2013
54,MAN-MADE FILAMENTS.,186.28,2/1/2013
55,MAN-MADE STAPLE FIBRES.,152.12,2/1/2013
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",24.94,2/1/2013
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,115.14,2/1/2013
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,25.05,2/1/2013
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",14.15,2/1/2013
60,KNITTED OR CROCHETED FABRICS.,16.11,2/1/2013
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",493.7,2/1/2013
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",730.81,2/1/2013
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,323.52,2/1/2013
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",192.35,2/1/2013
65,HEADGEAR AND PARTS THEREOF.,3.09,2/1/2013
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.2,2/1/2013
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,38.27,2/1/2013
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",99.2,2/1/2013
69,CERAMIC PRODUCTS.,33.6,2/1/2013
70,GLASS AND GLASSWARE.,45.71,2/1/2013
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","3,763.20",2/1/2013
72,IRON AND STEEL,826.6,2/1/2013
73,ARTICLES OF IRON OR STEEL,558.95,2/1/2013
74,COPPER AND ARTICLES THEREOF.,218.27,2/1/2013
75,NICKEL AND ARTICLES THEREOF.,75.88,2/1/2013
76,ALUMINIUM AND ARTICLES THEREOF.,150.07,2/1/2013
78,LEAD AND ARTICLES THEREOF.,14.3,2/1/2013
79,ZINC AND ARTICLES THEREOF.,38.62,2/1/2013
80,TIN AND ARTICLES THEREOF.,0.29,2/1/2013
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,5.81,2/1/2013
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",62.55,2/1/2013
83,MISCELLANEOUS ARTICLES OF BASE METAL.,35.97,2/1/2013
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.","1,003.78",2/1/2013
